datetime,pct,precip,precipcover,preciptype,snow,snowdepth
2016-11-24,0.761760090640499,0.057,12.5,rain,0.0,0.0
2016-11-25,0.8221902868750393,0.036,8.33,rain,0.0,0.0
2016-11-26,0.8758978475037551,0.0,0.0,,0.0,0.0
2016-11-27,0.7814835189327628,0.0,0.0,,0.0,0.0
2016-11-28,0.7334978658727207,0.0,0.0,,0.0,0.0
2016-11-29,0.7322877918138587,0.44,41.67,rain,0.0,0.0
2016-11-30,0.674227862882589,0.855,41.67,rain,0.0,0.0
2016-12-01,0.7493842134525168,0.326,29.17,rain,0.0,0.0
2016-12-02,0.8533215510119966,0.0,0.0,,0.0,0.0
2016-12-03,0.8567996819206054,0.0,0.0,,0.0,0.0
2016-12-04,0.7935472162688263,0.0,0.0,,0.0,0.0
2016-12-05,0.7660909762959527,0.146,29.17,"rain,snow",0.2,0.1
2016-12-06,0.7590448621505892,0.0,0.0,,0.0,0.0
2016-12-07,0.7627300694746459,0.087,25.0,rain,0.0,0.0
2016-12-08,0.7405888555532925,0.0,0.0,,0.0,0.0
2016-12-09,0.8196354562521495,0.0,0.0,,0.0,0.0
2016-12-10,0.841639479376402,0.0,0.0,,0.0,0.0
2016-12-11,0.7792786530022483,0.0,0.0,"rain,snow",0.3,0.1
2016-12-12,0.7532910369437721,0.444,50.0,"rain,snow",0.3,0.3
2016-12-13,0.7932649343387522,0.0,0.0,,0.0,0.2
2016-12-14,0.8751242632071988,0.0,0.0,,0.0,0.2
2016-12-15,0.7216120126477101,0.0,0.0,,0.0,0.0
2016-12-16,0.7041301197838968,0.0,0.0,snow,0.5,0.1
2016-12-17,0.787865889537657,0.536,50.0,"rain,snow",1.6,0.7
2016-12-18,0.8148784724017079,0.108,33.33,rain,0.0,0.6
2016-12-19,0.7424299770772149,0.0,0.0,,0.0,0.1
2016-12-20,0.7743456673901321,0.0,0.0,,0.0,0.2
2016-12-21,0.7598075790937998,0.0,0.0,,0.0,0.1
2016-12-22,0.7680108189884718,0.018,4.17,rain,0.0,0.2
2016-12-23,0.7572566517016706,0.0,0.0,,0.0,0.2
2016-12-24,0.8510294038468238,0.38,20.83,rain,0.0,0.1
2016-12-25,0.7413732286481262,0.0,0.0,,0.0,0.0
2016-12-26,0.8069084975910312,0.0,0.0,,0.0,0.0
2016-12-27,0.7752442634480222,0.012,8.33,rain,0.0,0.0
2016-12-28,0.8353909258039787,0.0,0.0,,0.0,0.0
2016-12-29,0.8489109709391205,1.047,41.67,"rain,snow",0.0,0.1
2016-12-30,0.782584238121647,0.0,0.0,,0.0,0.9
2016-12-31,0.875950928556913,0.027,8.33,rain,0.0,0.0
2017-01-01,0.7854681411858001,0.106,20.83,rain,0.0,0.0
2017-01-02,0.7978394012092782,0.0,0.0,,0.0,0.0
2017-01-03,0.7792026047033797,0.855,70.83,rain,0.0,0.0
2017-01-04,0.7600787982342776,0.082,20.83,rain,0.0,0.0
2017-01-05,0.8093753379215497,0.0,0.0,"rain,snow",0.3,0.1
2017-01-06,0.8661238817285015,0.06,12.5,"rain,snow",0.4,0.3
2017-01-07,0.8501614938406497,0.195,45.83,snow,1.5,0.9
2017-01-08,0.7749626560810755,0.005,4.17,snow,0.8,2.1
2017-01-09,0.7453473939411716,0.0,0.0,,0.0,1.6
2017-01-10,0.8485672093342778,0.125,20.83,rain,0.0,1.4
2017-01-11,0.8553531685105573,0.122,16.67,rain,0.0,0.6
2017-01-12,0.7858795761461393,0.158,37.5,rain,0.0,0.0
2017-01-13,0.8511213816596508,0.0,0.0,,0.0,0.0
2017-01-14,0.8706982160309539,0.0,0.0,,0.0,0.0
2017-01-15,0.8082686307142243,0.0,0.0,,0.0,0.0
2017-01-16,0.809408785612517,0.0,0.0,,0.0,0.0
2017-01-17,0.7764808261627489,0.264,20.83,rain,0.0,0.0
2017-01-18,0.8099987747024813,0.38,70.83,"rain,snow",0.3,0.2
2017-01-19,0.7369950864011936,0.0,0.0,,0.0,0.0
2017-01-20,0.8013055764731305,0.0,0.0,,0.0,0.0
2017-01-21,0.7971267706264756,0.0,0.0,,0.0,0.0
2017-01-22,0.7730611686390146,0.062,20.83,rain,0.0,0.0
2017-01-23,0.7786242770635823,0.247,54.17,rain,0.0,0.0
2017-01-24,0.8092992369035157,1.163,75.0,rain,0.0,0.3
2017-01-25,0.7437837665405972,0.034,8.33,rain,0.0,0.4
2017-01-26,0.7934909789644558,0.062,20.83,rain,0.0,0.2
2017-01-27,0.8185661250057408,0.0,0.0,,0.0,0.0
2017-01-28,0.8576094924942853,0.0,0.0,,0.0,0.0
2017-01-29,0.8076883627973579,0.0,0.0,,0.0,0.0
2017-01-30,0.7494270114251962,0.0,0.0,,0.0,0.0
2017-01-31,0.8192558902199135,0.056,25.0,snow,0.5,0.1
2017-02-01,0.8301789364092818,0.067,25.0,"rain,snow",0.3,0.5
