datetime,precip,precipcover,preciptype,snow,snowdepth
2017-05-20,0.0,0.0,,0.0,0.0
2017-05-21,0.0,0.0,,0.0,0.0
2017-05-22,0.111,25.0,rain,0.0,0.0
2017-05-23,0.027,8.33,rain,0.0,0.0
2017-05-24,0.0,0.0,,0.0,0.0
2017-05-25,0.427,54.17,rain,0.0,0.0
2017-05-26,0.744,62.5,rain,0.0,0.0
2017-05-27,0.0,0.0,,0.0,0.0
2017-05-28,0.0,0.0,,0.0,0.0
2017-05-29,0.052,16.67,rain,0.0,0.0
2017-05-30,0.0,0.0,,0.0,0.0
2017-05-31,0.048,8.33,rain,0.0,0.0
2017-06-01,0.162,8.33,rain,0.0,0.0
2017-06-02,0.011,4.17,rain,0.0,0.0
2017-06-03,0.0,0.0,,0.0,0.0
2017-06-04,0.158,20.83,rain,0.0,0.0
2017-06-05,0.287,37.5,rain,0.0,0.0
2017-06-06,1.166,95.83,rain,0.0,0.0
2017-06-07,0.077,25.0,rain,0.0,0.0
2017-06-08,0.0,0.0,,0.0,0.0
2017-06-09,0.005,4.17,rain,0.0,0.0
2017-06-10,0.0,0.0,,0.0,0.0
2017-06-11,0.0,0.0,,0.0,0.0
2017-06-12,0.0,0.0,,0.0,0.0
2017-06-13,0.461,4.17,rain,0.0,0.0
2017-06-14,0.02,8.33,rain,0.0,0.0
2017-06-15,0.0,0.0,,0.0,0.0
2017-06-16,1.938,33.33,rain,0.0,0.0
2017-06-17,0.088,16.67,rain,0.0,0.0
2017-06-18,0.0,0.0,,0.0,0.0
2017-06-19,0.034,8.33,rain,0.0,0.0
2017-06-20,0.13,16.67,rain,0.0,0.0
2017-06-21,0.0,0.0,,0.0,0.0
2017-06-22,0.0,0.0,,0.0,0.0
2017-06-23,0.0,0.0,,0.0,0.0
2017-06-24,0.071,12.5,rain,0.0,0.0
2017-06-25,0.0,0.0,,0.0,0.0
2017-06-26,0.0,0.0,,0.0,0.0
2017-06-27,0.075,8.33,rain,0.0,0.0
2017-06-28,0.0,0.0,,0.0,0.0
2017-06-29,0.0,0.0,,0.0,0.0
2017-06-30,0.079,16.67,rain,0.0,0.0
2017-07-01,0.0,0.0,,0.0,0.0
2017-07-02,0.1,8.33,rain,0.0,0.0
2017-07-03,0.0,0.0,,0.0,0.0
2017-07-04,0.0,0.0,,0.0,0.0
